ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
SAVE,EQS,ESQUEL,ESQUEL,ARGENTINA,-42.908,-71.139
SAVH,,LAS HERAS,LAS HERAS,ARGENTINA,-46.538000000000004,-68.96600000000001
SAVM,,,LAGO MUSTERS,ARGENTINA,0.0,0.0
SAVO,OES,,SAN ANTONIO OESTE,ARGENTINA,0.0,0.0
SAVP,,,PASO DE LOS INDIOS,ARGENTINA,0.0,0.0
SAVQ,,,MAQUINCHAO,ARGENTINA,0.0,0.0
SAVR,ARR,,ALTO RIO SENGUERR,ARGENTINA,0.0,0.0
SAVS,SGV,,SIERRA GRANDE,ARGENTINA,0.0,0.0
SAVT,REL,ALMIRANTE ZAR,TRELEW,ARGENTINA,-43.21,-65.27
SAVV,VDM,GOBERNADOR CASTELLO,VIEDMA,ARGENTINA,-40.869,-63.0
SAVY,PMY,EL TEHUELCHE,PUERTO MADRYN,ARGENTINA,-42.75899999999999,-65.102
SAWA,ING,LAGO ARGENTINO,LAGO ARGENTINO,ARGENTINA,-50.335,-72.248
SAWB,,BASE MARAMBIO,MARAMBIO BASE,ANTARCTICA,-64.238,-56.631
SAWD,PUD,PUERTO DESEADO,PUERTO DESEADO,ARGENTINA,-47.735,-65.904
SAWE,RGA,RIO GRANDE,RIO GRANDE,ARGENTINA,-53.777,-67.749
SAWG,RGL,RIO GALLEGOS,RIO GALLEGOS,ARGENTINA,-51.608999999999995,-69.313
SAWH,USH,USHUAIA MALVINAS ARGENTINAS,USHUAIA,ARGENTINA,-54.843,-68.296
SAWJ,ULA,SAN JULIAN,SAN JULIAN,ARGENTINA,-49.306999999999995,-67.80199999999999
SAWM,ROY,,RIO MAYO,ARGENTINA,0.0,0.0
SAWP,PMQ,,PERITO MORENO,ARGENTINA,0.0,0.0
SAWR,GGS,,GOBERNADOR GREGORES,ARGENTINA,0.0,0.0
SAWS,JSM,JOSE DE SAN MARTIN,JOSE DE SAN MARTIN,ARGENTINA,-44.048,-70.459
SAWT,RYO,EL TURBIO,RIO TURBIO,ARGENTINA,-51.606,-72.217
SAWU,RZA,SANTA CRUZ,SANTA CRUZ,ARGENTINA,-50.016000000000005,-68.579
SAXC,,,NUEVA DE JULIO,ARGENTINA,0.0,0.0
SAZB,BHI,COMANDANTE ESPORA,BAHIA BLANCA,ARGENTINA,-38.725,-62.169
SAZC,,CORONEL SUAREZ,COLONEL SUAREZ,ARGENTINA,-37.446,-61.888999999999996
SAZD,,DOLORES,DOLORES,ARGENTINA,-36.32,-57.722
SAZE,,,PIGUE,ARGENTINA,0.0,0.0
SAZF,,OLAVARRIA,OLAVARRIA,ARGENTINA,-36.891,-60.216
SAZG,,GENERAL PICO,GENERAL PICO,ARGENTINA,-35.696,-63.758
SAZH,,TRES ARROYOS,TRES ARROYOS,ARGENTINA,-38.387,-60.32899999999999
SAZI,,BOLIVAR,BOLIVAR,ARGENTINA,-36.187,-61.076
SAZJ,,,BENITO JUAREZ,ARGENTINA,0.0,0.0
SAZK,,,CERRO CATEDRAL,ARGENTINA,0.0,0.0
SAZL,,SANTA TERESITA,SANTA TERESITA,ARGENTINA,-36.542,-56.722
SAZM,MDQ,MAR DEL PLATA,MAR DEL PLATA,ARGENTINA,-37.934,-57.573
SAZN,NQN,PRESIDENTE PERON,NEUQUEN,ARGENTINA,-38.949,-68.156
SAZO,,NECOCHEA,NECOCHEA,ARGENTINA,-38.489000000000004,-58.816
SAZP,,COMODORO P ZANNI,PEHUAJO,ARGENTINA,-35.846,-61.858000000000004
SAZQ,,,RIO COLORADO,ARGENTINA,0.0,0.0
SAZR,RSA,SANTA ROSA,SANTA ROSA,ARGENTINA,-36.588,-64.275
SAZS,BRC,SAN CARLOS DE BARILOCHE,SAN CARLOS DE BARILOCH,ARGENTINA,-41.151,-71.157
SAZT,TDL,TANDIL,TANDIL,ARGENTINA,-37.236999999999995,-59.228
SAZU,,,PUELCHES,ARGENTINA,0.0,0.0
SAZV,VLG,VILLA GESELL,VILLA GESELL,ARGENTINA,-37.235,-57.028999999999996
SAZW,,CUTRALCO,CUTRALCO,ARGENTINA,-38.939,-69.264
