,Date,Airport,Latitude,Longitude,Max Temp,Precip,Precip Type,Wind Speed
161,2015-06-11,DFW,32.896,-97.037,92.0,0.19,"rain,",20.8
162,2015-06-12,DFW,32.896,-97.037,92.9,0.0,NA,20.8
163,2015-06-13,DFW,32.896,-97.037,88.0,0.0,NA,23.0
164,2015-06-14,DFW,32.896,-97.037,88.1,0.0,NA,19.7
165,2015-06-15,DFW,32.896,-97.037,91.1,0.02,"rain,",13.9
166,2015-06-16,DFW,32.896,-97.037,83.0,0.09,"rain,",16.1
167,2015-06-17,DFW,32.896,-97.037,79.1,2.29,"rain,",32.1
168,2015-06-18,DFW,32.896,-97.037,94.9,0.0,NA,23.0
169,2015-06-19,DFW,32.896,-97.037,93.8,0.0,NA,12.7
170,2015-06-20,DFW,32.896,-97.037,84.8,0.0,NA,18.3
171,2015-06-21,DFW,32.896,-97.037,88.1,0.07,"rain,",17.2
172,2015-06-22,DFW,32.896,-97.037,93.8,0.0,NA,23.0
173,2015-06-23,DFW,32.896,-97.037,92.9,0.0,NA,13.9
174,2015-06-24,DFW,32.896,-97.037,94.9,0.0,NA,14.9
175,2015-06-25,DFW,32.896,-97.037,93.8,0.0,NA,12.7
176,2015-06-26,DFW,32.896,-97.037,94.9,1.28,"rain,",18.4
177,2015-06-27,DFW,32.896,-97.037,89.1,0.21,"rain,",16.1
178,2015-06-28,DFW,32.896,-97.037,92.0,0.0,NA,8.1
179,2015-06-29,DFW,32.896,-97.037,94.9,0.0,NA,12.7
180,2015-06-30,DFW,32.896,-97.037,94.9,0.03,"rain,",21.9
181,2015-07-01,DFW,32.896,-97.037,92.9,0.0,NA,21.9
182,2015-07-02,DFW,32.896,-97.037,92.0,0.0,NA,24.1
183,2015-07-03,DFW,32.896,-97.037,92.0,0.0,NA,20.8
184,2015-07-04,DFW,32.896,-97.037,92.9,0.0,NA,16.1
185,2015-07-05,DFW,32.896,-97.037,92.0,0.0,NA,20.8
186,2015-07-06,DFW,32.896,-97.037,92.0,0.0,NA,26.4
187,2015-07-07,DFW,32.896,-97.037,92.0,0.0,NA,24.1
188,2015-07-08,DFW,32.896,-97.037,84.0,0.96,"rain,",21.9
189,2015-07-09,DFW,32.896,-97.037,92.0,0.0,NA,24.1
190,2015-07-10,DFW,32.896,-97.037,92.0,0.0,NA,17.2
191,2015-07-11,DFW,32.896,-97.037,92.9,0.0,NA,16.1
192,2015-07-12,DFW,32.896,-97.037,96.2,0.0,NA,13.9
193,2015-07-13,DFW,32.896,-97.037,97.1,0.0,NA,16.1
194,2015-07-14,DFW,32.896,-97.037,98.1,0.0,NA,16.1
195,2015-07-15,DFW,32.896,-97.037,94.9,0.0,NA,13.9
196,2015-07-16,DFW,32.896,-97.037,96.2,0.0,NA,17.2
197,2015-07-17,DFW,32.896,-97.037,97.1,0.0,NA,18.3
198,2015-07-18,DFW,32.896,-97.037,99.0,0.0,NA,16.1
199,2015-07-19,DFW,32.896,-97.037,98.1,0.0,NA,18.3
200,2015-07-20,DFW,32.896,-97.037,99.0,0.0,NA,13.8
201,2015-07-21,DFW,32.896,-97.037,97.1,0.02,"rain,",15.0
202,2015-07-22,DFW,32.896,-97.037,98.1,0.0,NA,17.2
203,2015-07-23,DFW,32.896,-97.037,98.1,0.0,NA,16.1
204,2015-07-24,DFW,32.896,-97.037,98.1,0.0,NA,18.3
205,2015-07-25,DFW,32.896,-97.037,98.1,0.0,NA,15.0
206,2015-07-26,DFW,32.896,-97.037,100.1,0.0,NA,12.7
207,2015-07-27,DFW,32.896,-97.037,99.0,0.0,NA,16.1
208,2015-07-28,DFW,32.896,-97.037,98.1,0.0,NA,17.2
209,2015-07-29,DFW,32.896,-97.037,101.0,0.0,NA,13.8
210,2015-07-30,DFW,32.896,-97.037,101.9,0.0,NA,17.2
211,2015-07-31,DFW,32.896,-97.037,98.1,0.0,NA,13.9
212,2015-08-01,DFW,32.896,-97.037,97.1,0.0,NA,10.3
213,2015-08-02,DFW,32.896,-97.037,98.1,0.0,NA,12.8
214,2015-08-03,DFW,32.896,-97.037,98.1,0.0,NA,12.7
215,2015-08-04,DFW,32.896,-97.037,98.1,0.0,NA,15.0
216,2015-08-05,DFW,32.896,-97.037,101.0,0.0,NA,16.1
217,2015-08-06,DFW,32.896,-97.037,101.9,0.0,NA,24.1
218,2015-08-07,DFW,32.896,-97.037,101.9,0.0,NA,16.1
219,2015-08-08,DFW,32.896,-97.037,101.9,0.0,NA,17.2
220,2015-08-09,DFW,32.896,-97.037,105.2,0.0,NA,16.1
221,2015-08-10,DFW,32.896,-97.037,105.2,0.0,NA,11.4
222,2015-08-11,DFW,32.896,-97.037,102.8,0.0,NA,16.1
223,2015-08-12,DFW,32.896,-97.037,98.1,0.0,NA,15.0
224,2015-08-13,DFW,32.896,-97.037,98.1,0.0,NA,11.4
225,2015-08-14,DFW,32.896,-97.037,96.2,0.0,NA,12.7
